ID;VALOR_PARCELA;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;VALOR_TOTAL;TOTAL_PARCELAS;PARCELAS_PAGAS;PARCELAS_NAO_PAGAS
1;"112,36";0;;;;;;;;;;;;;;;"112,36";1;1;0
2;"74,91";0;;;;;;;;;;;;;;;"74,91";1;1;0
3;"114,44";0;0;0;0;0;0;0;0;0;0;;;;;;"1144,4";10;10;0
4;"145,76";0;0;0;0;0;0;0;0;0;0;;;;;;"1457,6";10;10;0
5;"36,64";0;0;0;0;0;0;;;;;;;;;;"219,84";6;6;0
6;131;0;0;;;;;;;;;;;;;;262;2;2;0
7;"30,79";0;0;0;0;0;0;;;;;;;;;;"184,74";6;6;0
8;"126,45";0;0;0;0;0;0;0;0;;;;;;;;"1011,6";8;8;0
9;"29,66";0;0;0;0;0;0;;;;;;;;;;"177,96";6;6;0
10;"21,66";0;0;0;;;;;;;;;;;;;"64,98";3;3;0
11;46;0;0;0;0;0;0;;;;;;;;;;276;6;6;0
12;"291,55";1;1;1;1;1;1;1;1;1;1;1;1;;;;"3498,6";12;0;12
13;"18,83";0;0;0;0;0;0;;;;;;;;;;"112,98";6;6;0
14;"179,62";0;0;0;0;0;0;;;;;;;;;;"1077,72";6;6;0
15;"13,9";0;0;0;0;0;0;;;;;;;;;;"83,4";6;6;0
16;"125,51";0;0;0;0;0;0;;;;;;;;;;"753,06";6;6;0
17;"110,07";0;0;0;0;0;0;0;0;;;;;;;;"880,56";8;8;0
18;"19,62";0;0;0;0;0;0;;;;;;;;;;"117,72";6;6;0
19;"69,95";0;0;0;0;0;;;;;;;;;;;"349,75";5;5;0
20;"172,2";0;0;0;0;0;0;0;0;0;0;0;0;;;;"2066,4";12;12;0
21;"80,95";0;0;0;0;0;0;;;;;;;;;;"485,7";6;6;0
22;"63,71";0;0;0;0;0;0;0;0;0;;;;;;;"573,39";9;9;0
23;"43,29";0;0;0;;;;;;;;;;;;;"129,87";3;3;0
24;"123,65";0;0;0;0;0;0;0;0;0;0;0;0;;;;"1483,8";12;12;0
25;"54,12";0;0;0;0;0;0;;;;;;;;;;"324,72";6;6;0
26;"144,31";0;0;0;0;0;0;0;0;;;;;;;;"1154,48";8;8;0
27;"55,36";0;0;0;0;0;0;0;0;0;0;0;0;;;;"664,32";12;12;0
28;"153,52";0;0;0;0;0;0;0;0;0;0;0;0;;;;"1842,24";12;12;0
29;"57,23";0;0;0;0;0;0;0;0;0;0;;;;;;"572,3";10;10;0
30;"124,28";0;0;0;0;0;0;0;0;0;0;;;;;;"1242,8";10;10;0
31;"72,64";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"1089,6";15;15;0
32;53;0;0;0;;;;;;;;;;;;;159;3;3;0
33;"95,52";0;0;0;0;0;;;;;;;;;;;"477,6";5;5;0
34;"41,82";0;0;0;0;0;0;0;0;0;0;;;;;;"418,2";10;10;0
35;"94,53";0;0;0;0;0;0;0;0;0;0;0;0;;;;"1134,36";12;12;0
36;"131,32";0;0;0;0;0;0;0;0;0;0;;;;;;"1313,2";10;10;0
37;"18,57";0;0;0;0;0;0;;;;;;;;;;"111,42";6;6;0
38;21;0;0;0;0;0;;;;;;;;;;;105;5;5;0
39;"63,09";0;0;0;0;0;;;;;;;;;;;"315,45";5;5;0
40;"98,24";0;0;0;0;0;0;0;0;;;;;;;;"785,92";8;8;0
41;"158,47";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"2377,05";15;15;0
42;147;0;0;0;0;0;;;;;;;;;;;735;5;5;0
43;"59,83";0;0;0;0;0;0;0;0;0;0;;;;;;"598,3";10;10;0
44;"94,85";0;0;0;0;0;;;;;;;;;;;"474,25";5;5;0
45;"122,44";0;0;0;0;0;0;;;;;;;;;;"734,64";6;6;0
46;"94,82";0;0;0;0;0;0;;;;;;;;;;"568,92";6;6;0
47;"159,47";0;0;0;0;0;;;;;;;;;;;"797,35";5;5;0
48;"260,11";0;0;0;0;0;0;0;0;0;0;;;;;;"2601,1";10;10;0
49;"74,71";0;0;0;0;0;0;0;0;0;0;0;0;0;;;"971,23";13;13;0
50;"66,15";0;0;0;0;0;0;;;;;;;;;;"396,9";6;6;0
51;"40,86";0;0;0;0;0;0;0;0;0;0;;;;;;"408,6";10;10;0
52;"129,47";0;0;0;0;0;0;0;0;0;0;;;;;;"1294,7";10;10;0
53;"20,57";0;0;0;;;;;;;;;;;;;"61,71";3;3;0
54;"136,83";0;0;0;0;0;0;0;0;0;0;0;0;;;;"1641,96";12;12;0
55;"138,21";0;0;0;0;0;0;0;;;;;;;;;"967,47";7;7;0
56;"58,15";0;0;0;;;;;;;;;;;;;"174,45";3;3;0
57;"132,81";0;0;0;0;0;0;0;0;;;;;;;;"1062,48";8;8;0
58;"80,13";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"1201,95";15;15;0
59;"157,2";0;0;0;0;0;0;;;;;;;;;;"943,2";6;6;0
60;"52,82";0;0;0;0;0;0;;;;;;;;;;"316,92";6;6;0
61;"25,83";0;0;0;0;0;0;;;;;;;;;;"154,98";6;6;0
62;"100,56";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"1508,4";15;15;0
